tokens,accesses,workload,l1_capacity,batch_size,pre_stage_ratio,expand_window,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,num_expands,avg_expand_batch,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,0.5,8,20000,6296,13289,415,1,0.3148,0.66445,0.02075,165.23,3087232,890.944,52,7.98077,0,0,0,0
5000,20000,1,2048,32,0.5,8,20000,12580,7033,387,1,0.629,0.35165,0.01935,117.26,2279296,926.874,49,7.89796,0,0,0,0
5000,20000,1,2048,64,0.5,8,20000,12375,7239,386,1,0.61875,0.36195,0.0193,118.767,2305408,925.593,49,7.87755,0,0,0,0
5000,20000,1,2048,128,0.5,8,20000,8913,10666,421,1,0.44565,0.5333,0.02105,145.782,2753024,900.481,53,7.9434,0,0,0,0
5000,20000,1,2048,256,0.5,8,20000,8259,11366,375,1,0.41295,0.5683,0.01875,149.308,2830848,904.076,47,7.97872,0,0,0,0
5000,20000,1,4096,16,0.5,8,20000,15624,3964,412,1,0.7812,0.1982,0.0206,95.18,1892864,948.296,52,7.92308,0,0,0,0
5000,20000,1,4096,32,0.5,8,20000,11601,7979,420,1,0.58005,0.39895,0.021,125.593,2408832,914.561,53,7.92453,0,0,0,0
5000,20000,1,4096,64,0.5,8,20000,10601,9013,386,1,0.53005,0.45065,0.0193,132.072,2532480,914.332,49,7.87755,0,0,0,0
5000,20000,1,4096,128,0.5,8,20000,15268,4300,432,1,0.7634,0.215,0.0216,98.45,1940992,940.109,54,8,0,0,0,0
5000,20000,1,4096,256,0.5,8,20000,10847,8747,406,1,0.54235,0.43735,0.0203,130.827,2503552,912.489,51,7.96078,0,0,0,0
5000,20000,1,8192,16,0.5,8,20000,12128,7445,427,1,0.6064,0.37225,0.02135,121.85,2342272,916.604,54,7.90741,0,0,0,0
5000,20000,1,8192,32,0.5,8,20000,12928,6618,454,1,0.6464,0.3309,0.0227,116.66,2243328,916.94,57,7.96491,0,0,0,0
5000,20000,1,8192,64,0.5,8,20000,8736,10847,417,1,0.4368,0.54235,0.02085,146.99,2775168,900.268,53,7.86792,0,0,0,0
5000,20000,1,8192,128,0.5,8,20000,10510,9060,430,1,0.5255,0.453,0.0215,134.075,2549760,906.821,54,7.96296,0,0,0,0
5000,20000,1,8192,256,0.5,8,20000,15675,3930,395,1,0.78375,0.1965,0.01975,94.2875,1884160,952.87,50,7.9,0,0,0,0
