tokens,accesses,workload,l1_capacity,batch_size,total,l1_hits,l2_hits,l3_hits,overall,l1_share,l2_share,l3_share,avg_latency_ns,total_estimated_bytes,estimated_comm_bw_MBps,promote_l3_to_l2,promote_l2_to_l1,demote_l1_to_l2,demote_l2_to_l3
5000,20000,1,2048,16,20000,11292,7889,819,1,0.5646,0.39445,0.04095,139.88,2499456,852.04,0,0,0,0
5000,20000,1,2048,32,20000,12770,6413,817,1,0.6385,0.32065,0.04085,128.735,2310016,855.635,0,0,0,0
5000,20000,1,2048,64,20000,15063,4118,819,1,0.75315,0.2059,0.04095,111.597,2016768,861.731,0,0,0,0
5000,20000,1,2048,128,20000,10938,8266,796,1,0.5469,0.4133,0.0398,141.845,2541824,854.479,0,0,0,0
5000,20000,1,2048,256,20000,13240,5909,851,1,0.662,0.29545,0.04255,126.23,2254208,851.533,0,0,0,0
5000,20000,1,4096,16,20000,14860,4271,869,1,0.743,0.21355,0.04345,114.62,2049152,852.479,0,0,0,0
5000,20000,1,4096,32,20000,14111,5053,836,1,0.70555,0.25265,0.0418,119.248,2140800,856.046,0,0,0,0
5000,20000,1,4096,64,20000,11044,8107,849,1,0.5522,0.40535,0.04245,142.64,2535040,847.449,0,0,0,0
5000,20000,1,4096,128,20000,14924,4279,797,1,0.7462,0.21395,0.03985,111.98,2031744,865.164,0,0,0,0
5000,20000,1,4096,256,20000,11593,7590,817,1,0.57965,0.3795,0.04085,137.562,2460672,852.95,0,0,0,0
5000,20000,1,8192,16,20000,14676,4496,828,1,0.7338,0.2248,0.0414,114.77,2067456,858.97,0,0,0,0
5000,20000,1,8192,32,20000,11503,7657,840,1,0.57515,0.38285,0.042,138.928,2475136,849.534,0,0,0,0
5000,20000,1,8192,64,20000,14248,4935,817,1,0.7124,0.24675,0.04085,117.65,2120832,859.576,0,0,0,0
5000,20000,1,8192,128,20000,11113,8062,825,1,0.55565,0.4031,0.04125,141.403,2523136,850.851,0,0,0,0
5000,20000,1,8192,256,20000,8884,10332,784,1,0.4442,0.5166,0.0392,156.89,2803200,851.979,0,0,0,0
